gen,island,rle_novelty,ae_novelty,diversity,temp,seed
0,"(0, 0)",0.506,0.6492134500036914,0.06095900261651269,0.5,1234
0,"(0, 2)",0.514,0.6566109211598777,0.08255906976220118,0.5,1234
0,"(0, 4)",0.488,0.6650101609041854,0.09641576634555159,0.5,1234
0,"(1, 1)",0.526,0.6542774076995106,0.08219489035213806,0.5,1234
0,"(1, 3)",0.49000000000000005,0.6583595203663001,0.07602631123499286,0.5,1234
0,"(2, 0)",0.5700000000000001,0.6752210375453765,0.04995998398718719,0.5,1234
0,"(2, 2)",0.45199999999999996,0.6604505068807973,0.08681013765684281,0.5,1234
0,"(2, 4)",0.5200000000000001,0.6729243590379557,0.05513619500836087,0.5,1234
0,"(3, 1)",0.546,0.6672290410432796,0.07959899496852961,0.5,1234
0,"(3, 3)",0.4860000000000001,0.6666239049252918,0.07939773296511685,0.5,1234
1,"(0, 0)",0.5640000000000001,0.649403574937965,0.04749736834815167,0.5,1234
1,"(0, 2)",0.5240000000000001,0.6512285633268806,0.08304215796810677,0.5,1234
1,"(0, 4)",0.52,0.6617368219776981,0.05642694391866354,0.5,1234
1,"(1, 1)",0.5400000000000001,0.648694647088567,0.037735924528226425,0.5,1234
1,"(1, 3)",0.538,0.6714883692132481,0.04004996878900157,0.5,1234
1,"(2, 0)",0.56,0.6721685200051172,0.04903060268852506,0.5,1234
1,"(2, 2)",0.4640000000000001,0.6448282276330204,0.048538644398046386,0.5,1234
1,"(2, 4)",0.538,0.6740174036133069,0.04995998398718718,0.5,1234
1,"(3, 1)",0.5840000000000002,0.6788870519397125,0.07496665925596524,0.5,1234
1,"(3, 3)",0.488,0.6532570110035473,0.05670978751503129,0.5,1234
2,"(0, 0)",0.5900000000000001,0.6460026079168093,0.04123105625617661,0.5,1234
2,"(0, 2)",0.49799999999999994,0.6613188461502152,0.04737087712930804,0.5,1234
2,"(0, 4)",0.506,0.6673260222551521,0.045122056690713924,0.5,1234
2,"(1, 1)",0.562,0.6464610582579599,0.05782732917920383,0.5,1234
2,"(1, 3)",0.554,0.670187474143138,0.04000000000000002,0.5,1234
2,"(2, 0)",0.496,0.6671530366748653,0.07158212067269312,0.5,1234
2,"(2, 2)",0.45999999999999996,0.6455161086382286,0.058514955353311165,0.5,1234
2,"(2, 4)",0.5640000000000001,0.6661917198969679,0.035156791662493886,0.5,1234
2,"(3, 1)",0.5740000000000001,0.6797387941420638,0.037094473981982824,0.5,1234
2,"(3, 3)",0.52,0.6625929202478655,0.03924283374069718,0.5,1234
3,"(0, 0)",0.6,0.6393772718168362,0.04312771730569565,0.5,1234
3,"(0, 2)",0.514,0.6633977498655422,0.05219195340279955,0.5,1234
3,"(0, 4)",0.48999999999999994,0.670189835389509,0.049839743177508444,0.5,1234
3,"(1, 1)",0.542,0.6497575614939376,0.06896375859826669,0.5,1234
3,"(1, 3)",0.5559999999999999,0.6782860048989787,0.053665631459994964,0.5,1234
3,"(2, 0)",0.5079999999999999,0.6565298679635522,0.054000000000000006,0.5,1234
3,"(2, 2)",0.4880000000000001,0.6350706385961628,0.030265491900843117,0.5,1234
3,"(2, 4)",0.546,0.6632413650023293,0.025612496949731396,0.5,1234
3,"(3, 1)",0.5439999999999999,0.6705646292920665,0.046518813398452034,0.5,1234
3,"(3, 3)",0.5039999999999999,0.6481339711497388,0.05015974481593781,0.5,1234
4,"(0, 0)",0.532,0.6358087917680605,0.05234500931320961,0.5,1234
4,"(0, 2)",0.526,0.6515359719675821,0.036932370625238804,0.5,1234
4,"(0, 4)",0.5360000000000001,0.6723074687912529,0.04882622246293482,0.5,1234
4,"(1, 1)",0.534,0.6602749565044891,0.054,0.5,1234
4,"(1, 3)",0.578,0.6880226545841575,0.07269112738154501,0.5,1234
4,"(2, 0)",0.526,0.6500567795413696,0.0351567916624939,0.5,1234
4,"(2, 2)",0.526,0.6404816750957933,0.0698856208386246,0.5,1234
4,"(2, 4)",0.522,0.6525207636225991,0.03600000000000002,0.5,1234
4,"(3, 1)",0.502,0.667547809480533,0.04715930449020639,0.5,1234
4,"(3, 3)",0.48600000000000004,0.6524559023606825,0.028000000000000004,0.5,1234
5,"(0, 0)",0.546,0.6471822565701738,0.04882622246293481,0.5,1234
5,"(0, 2)",0.5140000000000001,0.6551418479392728,0.042379240200834195,0.5,1234
5,"(0, 4)",0.5519999999999999,0.6805358566160493,0.050950956811427986,0.5,1234
5,"(1, 1)",0.536,0.6733926392405339,0.05949789912257407,0.5,1234
5,"(1, 3)",0.5760000000000001,0.6907376547968005,0.04422668877499197,0.5,1234
5,"(2, 0)",0.542,0.6622771153921467,0.029933259094191533,0.5,1234
5,"(2, 2)",0.538,0.6572079969729197,0.055461698495448186,0.5,1234
5,"(2, 4)",0.51,0.6643015863595412,0.07939773296511682,0.5,1234
5,"(3, 1)",0.484,0.6720034962120258,0.07255342858886822,0.5,1234
5,"(3, 3)",0.4779999999999999,0.6506847009139873,0.043127717305695666,0.5,1234
6,"(0, 0)",0.49000000000000005,0.6534387432040061,0.07045565981523416,0.5,1234
6,"(0, 2)",0.48200000000000004,0.6522841004866465,0.04472135954999579,0.5,1234
6,"(0, 4)",0.53,0.6849923537036424,0.04472135954999581,0.5,1234
6,"(1, 1)",0.552,0.6693239637433481,0.03820994634908559,0.5,1234
6,"(1, 3)",0.5240000000000001,0.6869116845838924,0.04019950248448356,0.5,1234
6,"(2, 0)",0.5399999999999999,0.6548855951701892,0.04669047011971501,0.5,1234
6,"(2, 2)",0.5199999999999999,0.6585861656515987,0.048332183894378294,0.5,1234
6,"(2, 4)",0.528,0.6559472522389328,0.033226495451672305,0.5,1234
6,"(3, 1)",0.522,0.6654781886142692,0.04098780306383839,0.5,1234
6,"(3, 3)",0.502,0.6507772956307728,0.05219195340279957,0.5,1234
7,"(0, 0)",0.524,0.6481407201766346,0.04963869458396343,0.5,1234
7,"(0, 2)",0.44000000000000006,0.6629414812370013,0.04664761515876239,0.5,1234
7,"(0, 4)",0.516,0.6744804882222749,0.03487119154832541,0.5,1234
7,"(1, 1)",0.558,0.6660567345284383,0.049030602688525056,0.5,1234
7,"(1, 3)",0.492,0.6728028756391486,0.01743559577416271,0.5,1234
7,"(2, 0)",0.562,0.6461648780491975,0.042895221179054435,0.5,1234
7,"(2, 2)",0.496,0.6533711281022917,0.0429418211071678,0.5,1234
7,"(2, 4)",0.522,0.6586287982332909,0.03370459909270544,0.5,1234
7,"(3, 1)",0.5239999999999999,0.6689673333635335,0.04898979485566356,0.5,1234
7,"(3, 3)",0.5080000000000001,0.6369902712795228,0.04816637831516917,0.5,1234
8,"(0, 0)",0.506,0.6600174760514751,0.049152822909778036,0.5,1234
