gen,island,rle_novelty,diversity,temp,seed
0,"(0, 0)",0.5045,0.056071383075504744,0.5,1234
0,"(0, 2)",0.504,0.06018928476066151,0.5,1234
0,"(0, 4)",0.5040000000000002,0.05249761899362675,0.5,1234
0,"(1, 1)",0.49700000000000005,0.04407663780280886,0.5,1234
0,"(1, 3)",0.4885,0.043871972830042655,0.5,1234
0,"(2, 0)",0.499,0.05632716928800878,0.5,1234
0,"(2, 2)",0.49799999999999994,0.052345009313209616,0.5,1234
0,"(2, 4)",0.49450000000000005,0.05761076288333632,0.5,1234
0,"(3, 1)",0.489,0.058223706512038544,0.5,1234
0,"(3, 3)",0.4995,0.03861346915261566,0.5,1234
1,"(0, 0)",0.531,0.04202380277890139,0.5,1234
1,"(0, 2)",0.4820000000000001,0.03350746185553303,0.5,1234
1,"(0, 4)",0.5229999999999999,0.0447213595499958,0.5,1234
1,"(1, 1)",0.501,0.04352011029397789,0.5,1234
1,"(1, 3)",0.5075000000000001,0.03335790760824186,0.5,1234
1,"(2, 0)",0.5095,0.04276388663346681,0.5,1234
1,"(2, 2)",0.4789999999999999,0.042927264063762564,0.5,1234
1,"(2, 4)",0.5080000000000001,0.0269953699733862,0.5,1234
1,"(3, 1)",0.4920000000000001,0.03299621190379284,0.5,1234
1,"(3, 3)",0.5055,0.028013389655662888,0.5,1234
2,"(0, 0)",0.5165000000000001,0.035759614091877445,0.5,1234
2,"(0, 2)",0.5125,0.03832753579347361,0.5,1234
2,"(0, 4)",0.5179999999999999,0.034799425282610645,0.5,1234
2,"(1, 1)",0.5125000000000001,0.02657066051117286,0.5,1234
2,"(1, 3)",0.5055,0.031980462785894774,0.5,1234
2,"(2, 0)",0.5265,0.03275286247032464,0.5,1234
2,"(2, 2)",0.4675000000000001,0.04060480267160523,0.5,1234
2,"(2, 4)",0.5165000000000001,0.03329789783154486,0.5,1234
2,"(3, 1)",0.5040000000000001,0.03734635189680514,0.5,1234
2,"(3, 3)",0.499,0.03927785635698568,0.5,1234
3,"(0, 0)",0.5130000000000001,0.0407308237088326,0.5,1234
3,"(0, 2)",0.5360000000000001,0.0222710574513201,0.5,1234
3,"(0, 4)",0.5299999999999999,0.03721222917267924,0.5,1234
3,"(1, 1)",0.5315000000000001,0.039934321078490875,0.5,1234
3,"(1, 3)",0.518,0.0367967389859482,0.5,1234
3,"(2, 0)",0.5014999999999998,0.029979159427842555,0.5,1234
3,"(2, 2)",0.47800000000000004,0.030265491900843114,0.5,1234
3,"(2, 4)",0.5085000000000001,0.03806573262134856,0.5,1234
3,"(3, 1)",0.5275,0.03203123475609395,0.5,1234
