gen,island,rle_novelty,diversity,seed
0,"(0, 0)",0.5045,0.056071383075504744,1234
0,"(0, 2)",0.504,0.06018928476066151,1234
0,"(0, 4)",0.5040000000000002,0.05249761899362675,1234
0,"(1, 1)",0.49700000000000005,0.04407663780280886,1234
0,"(1, 3)",0.4885,0.043871972830042655,1234
0,"(2, 0)",0.499,0.05632716928800878,1234
0,"(2, 2)",0.49799999999999994,0.052345009313209616,1234
0,"(2, 4)",0.49450000000000005,0.05761076288333632,1234
0,"(3, 1)",0.489,0.058223706512038544,1234
0,"(3, 3)",0.4995,0.03861346915261566,1234
1,"(0, 0)",0.531,0.04202380277890139,1234
1,"(0, 2)",0.4820000000000001,0.03350746185553303,1234
1,"(0, 4)",0.5229999999999999,0.0447213595499958,1234
1,"(1, 1)",0.501,0.04352011029397789,1234
1,"(1, 3)",0.5075000000000001,0.03335790760824186,1234
1,"(2, 0)",0.5095,0.04276388663346681,1234
1,"(2, 2)",0.4789999999999999,0.042927264063762564,1234
1,"(2, 4)",0.5080000000000001,0.0269953699733862,1234
1,"(3, 1)",0.4920000000000001,0.03299621190379284,1234
1,"(3, 3)",0.5055,0.028013389655662888,1234
2,"(0, 0)",0.5165000000000001,0.035759614091877445,1234
2,"(0, 2)",0.5125,0.03832753579347361,1234
2,"(0, 4)",0.5179999999999999,0.034799425282610645,1234
2,"(1, 1)",0.5125000000000001,0.02657066051117286,1234
2,"(1, 3)",0.5055,0.031980462785894774,1234
2,"(2, 0)",0.5265,0.03275286247032464,1234
2,"(2, 2)",0.4675000000000001,0.04060480267160523,1234
2,"(2, 4)",0.5165000000000001,0.03329789783154486,1234
2,"(3, 1)",0.5040000000000001,0.03734635189680514,1234
2,"(3, 3)",0.499,0.03927785635698568,1234
3,"(0, 0)",0.5130000000000001,0.0407308237088326,1234
3,"(0, 2)",0.5360000000000001,0.0222710574513201,1234
3,"(0, 4)",0.5299999999999999,0.03721222917267924,1234
3,"(1, 1)",0.5315000000000001,0.039934321078490875,1234
3,"(1, 3)",0.518,0.0367967389859482,1234
3,"(2, 0)",0.5014999999999998,0.029979159427842555,1234
3,"(2, 2)",0.47800000000000004,0.030265491900843114,1234
3,"(2, 4)",0.5085000000000001,0.03806573262134856,1234
3,"(3, 1)",0.5275,0.03203123475609395,1234
3,"(3, 3)",0.501,0.026076809620810607,1234
4,"(0, 0)",0.518,0.0379835490706174,1234
4,"(0, 2)",0.5305,0.03367491648096548,1234
4,"(0, 4)",0.5385000000000001,0.04170131892398609,1234
4,"(1, 1)",0.5375,0.03263433774416145,1234
4,"(1, 3)",0.5095,0.04639773701378118,1234
4,"(2, 0)",0.5245,0.03878143885933065,1234
4,"(2, 2)",0.47850000000000004,0.029000000000000005,1234
4,"(2, 4)",0.5040000000000001,0.035846896657869845,1234
4,"(3, 1)",0.532,0.03345145736735547,1234
4,"(3, 3)",0.5005,0.03039736830714134,1234
5,"(0, 0)",0.5255000000000001,0.033596874854664685,1234
5,"(0, 2)",0.5089999999999999,0.03300000000000001,1234
5,"(0, 4)",0.5375000000000001,0.032924155266308666,1234
5,"(1, 1)",0.5195,0.02954234249344491,1234
5,"(1, 3)",0.5050000000000001,0.042308391602612364,1234
5,"(2, 0)",0.5305,0.029563490998188977,1234
5,"(2, 2)",0.4965,0.026052830940226077,1234
5,"(2, 4)",0.5160000000000001,0.025937424698685898,1234
5,"(3, 1)",0.5174999999999998,0.03953163290328392,1234
5,"(3, 3)",0.4995000000000001,0.03636963018783666,1234
