gen,island,rle_novelty,diversity,temp,resource,seed
0,"(0, 0)",0.49866666666666665,0.05736433270479721,0.5,0.9139535009428048,1234
0,"(0, 2)",0.526,0.0589915248150105,0.5,0.9115127127774838,1234
0,"(0, 4)",0.5000000000000001,0.052051256789181696,0.5,0.9219231148162274,1234
0,"(1, 1)",0.49200000000000005,0.05185449728701348,0.5,0.9222182540694792,1234
0,"(1, 3)",0.49,0.045441048501205256,0.5,0.9318384272481913,1234
0,"(2, 0)",0.4946666666666666,0.04145144415122618,0.5,0.9378228337731611,1234
0,"(2, 2)",0.4986666666666667,0.04630334761116091,0.5,0.9305449785832589,1234
0,"(2, 4)",0.49599999999999994,0.059538969498042944,0.5,0.9106915457529354,1234
0,"(3, 1)",0.4966666666666667,0.04682829154356253,0.5,0.9297575626846563,1234
0,"(3, 3)",0.48666666666666675,0.06402777175222918,0.5,0.9039583423716571,1234
1,"(0, 0)",0.514,0.03586394041683404,0.5,0.9462040893747494,1234
1,"(0, 2)",0.5506666666666666,0.03375730373645912,0.5,0.9493640443953113,1234
1,"(0, 4)",0.4993333333333333,0.039305074594623124,0.5,0.9410423881080651,1234
1,"(1, 1)",0.5146666666666667,0.040243702060764205,0.5,0.9396344469088543,1234
1,"(1, 3)",0.5186666666666666,0.03275498265743534,0.5,0.9508675260138463,1234
1,"(2, 0)",0.5133333333333333,0.040639335077675115,0.5,0.9390409973834881,1234
1,"(2, 2)",0.48866666666666664,0.0348711915483254,0.5,0.9476932126775114,1234
1,"(2, 4)",0.5013333333333334,0.04975495508545411,0.5,0.9253675673718195,1234
1,"(3, 1)",0.5039999999999999,0.034149995932975186,0.5,0.9487750061005376,1234
1,"(3, 3)",0.4886666666666667,0.033954217541991606,0.5,0.9490686736870126,1234
2,"(0, 0)",0.5266666666666667,0.03678163793102327,0.5,0.9448275431034644,1234
2,"(0, 2)",0.5206666666666667,0.0300813711271426,0.5,0.9548779433092854,1234
2,"(0, 4)",0.49599999999999994,0.02895206766747797,0.5,0.9565718984987828,1234
2,"(1, 1)",0.5240000000000001,0.024440403706431163,0.5,0.9633393944403525,1234
2,"(1, 3)",0.5086666666666667,0.048286183899284844,0.5,0.9275707241510736,1234
2,"(2, 0)",0.5139999999999999,0.03405877273185282,0.5,0.9489118409022204,1234
2,"(2, 2)",0.49666666666666676,0.020000000000000018,0.5,0.97,1234
2,"(2, 4)",0.5113333333333333,0.03792390040887438,0.5,0.9431141493866892,1234
2,"(3, 1)",0.5166666666666667,0.046312945154555765,0.5,0.9305305822681655,1234
2,"(3, 3)",0.506,0.04029888335921978,0.5,0.9395516749611701,1234
3,"(0, 0)",0.5213333333333333,0.03732142667274242,0.5,0.9440178599908857,1234
3,"(0, 2)",0.5306666666666667,0.04697043987682276,0.5,0.9295443401847666,1234
3,"(0, 4)",0.51,0.0432768863123133,0.5,0.9350846705315299,1234
3,"(1, 1)",0.514,0.03261901286060018,0.5,0.9510714807091005,1234
3,"(1, 3)",0.5426666666666667,0.04317406628984581,0.5,0.9352389005652308,1234
